,City,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed,Country
0,Meadow Lake,34.8014,-106.5436,60.01,scattered clouds,40,40,16.11,US
1,Cheyenne,41.14,-104.8203,50.0,clear sky,31,1,8.05,US
2,Panzhihua,26.5851,101.7128,72.91,clear sky,31,10,3.24,CN
3,Bluff,-46.6,168.3333,45.0,scattered clouds,96,25,4.0,NZ
4,Saint-Philippe,-21.3585,55.7679,77.0,light rain,78,75,11.5,RE
5,Thompson,55.7435,-97.8558,21.2,few clouds,49,20,6.91,CA
6,Faanui,-16.4833,-151.75,79.86,light rain,75,38,11.61,PF
7,Tuktoyaktuk,69.4541,-133.0374,6.8,overcast clouds,85,90,5.75,CA
8,Cidreira,-30.1811,-50.2056,72.3,overcast clouds,70,98,15.41,BR
9,Kaitangata,-46.2817,169.8464,48.99,scattered clouds,88,39,1.99,NZ
10,Saldanha,-33.0117,17.9442,64.4,scattered clouds,63,48,10.36,ZA
11,Kapaa,22.0752,-159.319,73.4,broken clouds,78,75,12.66,US
12,Deputatskiy,69.3,139.9,-5.21,overcast clouds,99,97,3.53,RU
13,Marsaxlokk,35.8419,14.5431,61.0,scattered clouds,88,40,17.27,MT
14,Badou,7.5833,0.6,90.34,overcast clouds,53,100,3.96,TG
15,Sitka,57.0531,-135.33,44.6,clear sky,57,1,4.34,US
16,Ushuaia,-54.8,-68.3,42.8,broken clouds,87,75,2.26,AR
17,Cabo San Lucas,22.8909,-109.9124,78.01,scattered clouds,37,40,6.91,MX
18,Dikson,73.5069,80.5464,32.36,light snow,97,100,20.8,RU
19,Lebu,-37.6167,-73.65,58.86,broken clouds,68,52,4.5,CL
20,Busselton,-33.65,115.3333,61.0,scattered clouds,79,49,7.38,AU
21,Paamiut,61.994,-49.6678,34.7,clear sky,72,1,5.26,GL
22,Bredasdorp,-34.5322,20.0403,62.6,scattered clouds,72,35,10.36,ZA
23,Isangel,-19.55,169.2667,77.88,scattered clouds,86,28,9.64,VU
24,Avarua,-21.2078,-159.775,78.8,few clouds,78,20,8.05,CK
25,De-Kastri,51.4667,140.7833,32.47,snow,98,100,4.63,RU
26,Hobart,-42.8794,147.3294,53.6,overcast clouds,62,90,10.36,AU
27,Shimoda,34.6667,138.95,53.01,overcast clouds,66,100,5.99,JP
28,Tasiilaq,65.6145,-37.6368,35.6,overcast clouds,60,90,4.61,GL
29,New Norfolk,-42.7826,147.0587,53.01,overcast clouds,74,98,3.0,AU
30,Onega,63.9061,38.1404,51.06,light rain,71,100,10.74,RU
31,Roebourne,-20.7833,117.1333,78.78,light rain,40,1,6.08,AU
32,Kodiak,57.79,-152.4072,41.0,light rain,87,90,9.22,US
33,Tiksi,71.6872,128.8694,-0.13,broken clouds,100,55,5.66,RU
34,Lavrentiya,65.5833,-171.0,23.85,overcast clouds,72,100,3.11,RU
35,Quzhou,28.9594,118.8686,66.07,scattered clouds,91,47,6.49,CN
36,Port Hedland,-20.3167,118.5667,69.8,clear sky,56,0,8.05,AU
37,Torbay,47.6666,-52.7314,50.0,broken clouds,61,75,21.85,CA
38,Kirakira,-10.4544,161.9205,79.11,overcast clouds,84,91,3.29,SB
39,Srednekolymsk,67.45,153.6833,9.01,light snow,93,100,15.55,RU
40,Mar Del Plata,-38.0023,-57.5575,73.4,broken clouds,73,75,9.22,AR
41,Port Alfred,-33.5906,26.891,69.3,clear sky,74,3,26.08,ZA
42,Plateros,23.2167,-102.85,66.2,scattered clouds,26,40,28.77,MX
43,Arraial Do Cabo,-22.9661,-42.0278,78.8,clear sky,69,0,25.32,BR
44,Mitsamiouli,-11.3847,43.2844,82.4,light rain,74,40,16.11,KM
45,Carnarvon,-24.8667,113.6333,69.8,clear sky,83,1,10.36,AU
46,Gold Coast,-28.0,153.4333,57.0,clear sky,94,0,2.3,AU
47,Cherskiy,68.75,161.3,15.62,overcast clouds,91,100,9.33,RU
48,Nanortalik,60.1432,-45.2371,37.69,scattered clouds,80,35,7.31,GL
49,Hermanus,-34.4187,19.2345,62.01,broken clouds,78,70,5.73,ZA
50,Esperance,-33.8667,121.9,57.2,overcast clouds,88,100,10.36,AU
51,Mbuji-Mayi,-6.15,23.6,76.1,light rain,78,98,3.02,CD
52,Castro,-24.7911,-50.0119,70.12,clear sky,47,3,1.3,BR
53,Hilo,19.7297,-155.09,69.8,light rain,78,90,6.91,US
54,Leningradskiy,69.3833,178.4167,23.94,overcast clouds,94,100,5.7,RU
55,Puerto Ayora,-0.7393,-90.3518,84.2,scattered clouds,74,40,10.36,EC
56,Vaini,-21.2,-175.2,73.4,light rain,94,20,3.44,TO
57,Burns Lake,54.2331,-125.7533,37.4,broken clouds,38,69,5.75,CA
58,Westport,41.1415,-73.3579,54.0,clear sky,28,1,18.41,US
59,Ponta Do Sol,32.6667,-17.1,69.8,few clouds,56,20,5.75,PT
60,Bereda,43.2686,-7.5406,63.0,overcast clouds,67,100,4.0,ES
61,Vostok,46.4856,135.8833,47.93,light rain,90,100,7.27,RU
62,Codrington,-38.2667,141.9667,53.94,overcast clouds,83,100,8.12,AU
63,North Bend,43.4065,-124.2243,50.0,broken clouds,87,75,0.74,US
64,Chapais,49.7834,-74.8492,39.2,clear sky,38,1,19.57,CA
65,Punta Arenas,-53.15,-70.9167,46.4,overcast clouds,100,90,2.3,CL
66,Rikitea,-23.1203,-134.9692,78.94,overcast clouds,71,95,20.24,PF
67,Lompoc,34.6391,-120.4579,54.0,broken clouds,76,68,3.44,US
68,Albany,42.6001,-73.9662,54.0,clear sky,27,9,1.99,US
69,Khatanga,71.9667,102.5,34.21,overcast clouds,89,100,21.07,RU
70,Saint-Pierre,-21.3393,55.4781,77.0,light rain,78,75,11.5,RE
71,Mahebourg,-20.4081,57.7,78.8,scattered clouds,78,40,12.66,MU
72,Hwange,-18.3693,26.5019,76.03,clear sky,39,0,3.91,ZW
73,Poum,-20.2333,164.0167,78.19,scattered clouds,80,37,6.51,NC
74,Ribeira Grande,38.5167,-28.7,62.6,few clouds,59,20,32.21,PT
75,Georgetown,5.4112,100.3354,80.01,moderate rain,94,40,2.3,MY
76,Lamu,-2.2717,40.902,81.01,overcast clouds,77,92,9.64,KE
77,Grand Gaube,-20.0064,57.6608,80.01,overcast clouds,76,100,5.99,MU
78,Simao,22.7886,100.9748,70.29,clear sky,38,4,2.51,CN
79,Thinadhoo,0.5333,72.9333,83.19,scattered clouds,67,41,7.9,MV
80,Bosaso,11.2842,49.1816,83.46,scattered clouds,72,25,3.31,SO
81,Hithadhoo,-0.6,73.0833,82.18,scattered clouds,74,25,6.67,MV
82,Hasaki,35.7333,140.8333,48.2,clear sky,81,0,6.91,JP
83,Mataura,-46.1927,168.8643,45.0,scattered clouds,96,29,4.0,NZ
84,Qarayeri,40.7886,46.3066,73.4,broken clouds,27,75,0.72,AZ
85,Garachine,8.0647,-78.3628,82.8,broken clouds,76,67,4.41,PA
86,Bambous Virieux,-20.3428,57.7575,80.01,scattered clouds,78,40,12.66,MU
87,Baykit,61.67,96.37,23.11,few clouds,96,22,3.29,RU
88,Pangnirtung,66.1451,-65.7125,24.8,broken clouds,80,75,3.44,CA
89,Chaiyaphum,15.75,102.0,84.27,overcast clouds,63,100,9.53,TH
90,Chokurdakh,70.6333,147.9167,-13.5,scattered clouds,99,41,3.31,RU
91,Gatton,-27.55,152.2833,51.01,clear sky,93,0,2.59,AU
92,Gravdal,68.1214,13.5031,32.0,light snow,93,40,12.66,NO
93,Pangkalanbuun,-2.6833,111.6167,75.45,broken clouds,86,66,1.32,ID
94,San Jose,37.3394,-121.895,57.99,few clouds,62,20,9.22,US
95,Cape Town,-33.9258,18.4232,64.4,clear sky,68,0,5.75,ZA
96,Shingu,33.7333,135.9833,58.23,overcast clouds,72,100,4.18,JP
97,Lethem,3.3803,-59.7968,82.4,light rain,78,75,13.8,GY
98,Butaritari,3.0707,172.7902,81.0,light rain,78,96,8.03,KI
99,Alta Floresta,-9.8756,-56.0861,84.2,broken clouds,79,75,4.61,BR
100,Tautira,-17.7333,-149.15,75.2,few clouds,88,20,3.44,PF
101,Ilulissat,69.2167,-51.1,39.2,few clouds,48,20,19.57,GL
102,Tarsus,36.9188,34.8784,77.0,clear sky,31,0,6.91,TR
103,Broome,42.2506,-75.833,53.01,clear sky,39,1,16.11,US
104,Worland,44.0169,-107.9554,34.0,light snow,75,90,10.36,US
105,Batagay-Alyta,67.8006,130.4114,-3.33,overcast clouds,91,96,5.41,RU
106,Visnes,59.3556,5.2242,44.6,few clouds,57,20,26.46,NO
107,Ahipara,-35.1667,173.1667,61.66,clear sky,86,10,10.6,NZ
108,Muromtsevo,56.3724,75.2418,36.21,clear sky,66,0,5.99,RU
109,Narsaq,60.9167,-46.05,46.4,few clouds,46,20,9.22,GL
110,Saskylakh,71.9167,114.0833,27.21,light snow,97,100,9.62,RU
111,Kidal,18.4411,1.4078,103.28,clear sky,4,0,12.93,ML
112,Alofi,-19.0595,-169.9187,71.6,clear sky,100,10,1.14,NU
113,Fort Wellington,6.4,-57.6,80.56,moderate rain,81,81,11.86,GY
114,Pevek,69.7008,170.3133,6.33,broken clouds,98,83,5.55,RU
115,Santiago Del Estero,-27.7951,-64.2615,69.19,overcast clouds,89,100,5.01,AR
116,Miri,4.4148,114.0089,84.2,few clouds,79,20,3.44,MY
117,Muros,42.7762,-9.0603,66.0,overcast clouds,76,86,14.36,ES
118,Qaanaaq,77.484,-69.3632,22.86,overcast clouds,83,100,7.29,GL
119,Whitehorse,60.7161,-135.0538,34.0,clear sky,59,1,3.44,CA
120,Atuona,-9.8,-139.0333,80.29,scattered clouds,79,27,21.81,PF
121,Gornopravdinsk,60.05,69.9,44.8,overcast clouds,81,100,6.82,RU
122,Severnyy,50.677,36.5532,51.8,light rain,76,75,11.18,RU
123,Nikolskoye,59.7035,30.7861,45.0,broken clouds,53,75,11.18,RU
124,Lang Son,21.8333,106.7333,73.38,clear sky,97,4,3.98,VN
125,Barrow,71.2906,-156.7887,10.4,clear sky,85,1,4.61,US
126,Avenal,36.0041,-120.129,57.0,few clouds,62,20,6.91,US
127,Aurora,39.7294,-104.8319,51.01,broken clouds,39,75,8.05,US
128,Oistins,13.0667,-59.5333,86.0,scattered clouds,54,40,21.85,BB
129,Saint George,37.1041,-113.5841,66.0,clear sky,29,1,3.44,US
130,East London,-33.0153,27.9116,66.2,clear sky,82,0,11.5,ZA
131,Kulhudhuffushi,6.6221,73.07,83.89,scattered clouds,71,32,7.07,MV
132,Arlit,18.7369,7.3853,104.79,few clouds,5,15,9.98,NE
133,Victor Harbor,-35.5667,138.6167,55.0,overcast clouds,87,100,6.33,AU
134,Aljezur,37.3191,-8.8033,67.14,overcast clouds,69,100,14.09,PT
135,Rio Bravo,25.9833,-98.1,80.6,overcast clouds,73,90,11.5,MX
136,Kieta,-6.2167,155.6333,76.91,light rain,87,98,2.06,PG
137,Aksarka,66.5606,67.7975,34.75,overcast clouds,99,100,9.31,RU
138,Imbituba,-28.24,-48.6703,77.0,scattered clouds,65,40,6.91,BR
139,Vestmannaeyjar,63.4427,-20.2734,44.6,overcast clouds,87,90,21.85,IS
140,Iqaluit,63.7506,-68.5145,28.4,overcast clouds,80,90,3.44,CA
141,Mazatlan,23.2167,-106.4167,82.0,broken clouds,57,75,8.05,MX
142,Gigmoto,13.7796,124.39,77.77,broken clouds,88,82,2.46,PH
143,Qaqortoq,60.7167,-46.0333,46.4,few clouds,46,20,9.22,GL
144,Ancud,-41.8697,-73.8203,60.01,scattered clouds,71,40,8.05,CL
145,Chimbote,-9.0853,-78.5783,70.93,few clouds,76,17,9.78,PE
146,Katobu,-4.9408,122.5276,74.34,clear sky,92,0,1.5,ID
147,Kavieng,-2.5744,150.7967,76.62,moderate rain,88,100,11.05,PG
148,Bathsheba,13.2167,-59.5167,86.0,scattered clouds,54,40,21.85,BB
149,Yerbogachen,61.2767,108.0108,31.35,overcast clouds,83,100,7.05,RU
150,Chuy,-33.6971,-53.4616,74.59,scattered clouds,61,30,11.9,UY
151,Ambilobe,-13.2,49.05,76.32,broken clouds,75,82,7.07,MG
152,Atambua,-9.1061,124.8925,71.91,scattered clouds,88,30,5.01,ID
153,Mangai,-4.05,19.5333,80.24,light rain,76,83,1.45,CD
154,Krasnoselkup,65.7,82.4667,32.18,few clouds,84,19,18.54,RU
155,Saint-Jean-De-Maurienne,45.1667,6.5833,55.0,scattered clouds,43,46,5.99,FR
156,Kapit,2.0167,112.9333,75.13,overcast clouds,94,87,0.36,MY
157,Fortuna,40.5982,-124.1573,55.99,few clouds,87,20,8.05,US
158,Wanning,18.8003,110.3967,76.96,scattered clouds,89,36,6.87,CN
159,Brasilia De Minas,-16.2064,-44.4333,89.76,clear sky,26,0,5.39,BR
160,Fairbanks,64.8378,-147.7164,37.4,clear sky,52,1,9.22,US
161,Kofele,7.0667,38.7833,56.12,overcast clouds,77,100,7.67,ET
162,Rapid Valley,44.0625,-103.1463,39.0,broken clouds,64,75,29.93,US
163,Timbiqui,2.7717,-77.6654,86.56,broken clouds,61,78,3.71,CO
164,Dalbandin,28.8947,64.4101,84.07,clear sky,8,0,4.23,PK
165,Kangaba,11.9333,-8.4167,104.47,scattered clouds,17,38,1.14,ML
166,Kahului,20.8947,-156.47,69.01,few clouds,88,20,5.75,US
167,Chernyshevskiy,63.0128,112.4714,28.65,overcast clouds,92,100,9.75,RU
168,Goure,13.9835,10.2704,105.01,clear sky,6,4,11.7,NE
169,Kiama,-34.6833,150.8667,53.01,few clouds,71,11,1.99,AU
170,Kavaratti,10.5669,72.642,84.24,clear sky,69,1,7.72,IN
171,Araguari,-18.6472,-48.1872,78.8,clear sky,34,0,5.75,BR
172,Jamestown,42.097,-79.2353,53.01,clear sky,46,1,10.36,US
173,Ust-Uda,54.1742,103.0304,30.94,overcast clouds,71,100,4.54,RU
174,Mao,39.8885,4.2658,62.6,few clouds,59,20,10.36,ES
175,Beringovskiy,63.05,179.3167,14.59,overcast clouds,87,98,6.33,RU
176,Kenai,60.5544,-151.2583,41.0,clear sky,70,1,4.61,US
177,Nouadhibou,20.931,-17.0347,71.6,clear sky,68,0,23.02,MR
178,Kandiari,26.9156,68.5216,91.62,clear sky,20,2,16.98,PK
179,Gat,31.61,34.7642,72.0,clear sky,23,2,13.98,IL
180,Bozhou,33.8772,115.7703,57.78,light rain,77,100,10.29,CN
181,Pisco,-13.7,-76.2167,70.0,clear sky,73,2,6.91,PE
182,Anadyr,64.75,177.4833,10.4,clear sky,92,0,8.95,RU
183,Port Hawkesbury,45.6169,-61.3485,39.2,overcast clouds,65,90,14.97,CA
184,Faya,18.3851,42.4509,62.6,broken clouds,55,75,9.22,SA
185,Viedma,-40.8135,-62.9967,72.81,broken clouds,41,66,6.38,AR
186,Miram Shah,33.0086,70.0697,68.81,few clouds,39,15,1.63,PK
187,Harper,4.375,-7.7169,85.08,light rain,71,92,10.69,LR
188,Aklavik,68.2191,-135.0107,24.8,few clouds,63,20,5.75,CA
189,Halifax,44.6453,-63.5724,44.01,overcast clouds,49,99,28.77,CA
190,Muroto,33.2833,134.15,63.41,overcast clouds,71,100,14.67,JP
191,Cockburn Town,21.4612,-71.1419,78.75,broken clouds,71,51,12.39,TC
192,Palaikastron,35.2,26.25,66.13,clear sky,49,5,4.03,GR
193,Ouegoa,-20.35,164.4333,76.3,scattered clouds,87,33,9.57,NC
194,Vila Velha,-20.3297,-40.2925,81.0,few clouds,61,20,12.66,BR
195,Vestmanna,62.1564,-7.1664,48.2,scattered clouds,87,40,2.3,FO
196,Wuwei,37.9281,102.6414,43.18,overcast clouds,87,100,13.91,CN
197,Yenagoa,4.9247,6.2642,85.69,light rain,67,98,9.64,NG
198,Porosozero,62.7191,32.727,42.08,light rain,75,100,7.49,RU
199,Nome,64.5011,-165.4064,33.8,clear sky,69,1,6.91,US
200,Ouallam,14.3188,2.0866,108.14,clear sky,4,4,10.98,NE
201,Richards Bay,-28.783,32.0377,67.66,broken clouds,79,76,11.59,ZA
202,Souillac,-20.5167,57.5167,78.8,scattered clouds,78,40,12.66,MU
203,Umm Lajj,25.0213,37.2685,80.33,scattered clouds,65,49,7.67,SA
204,Rocha,-34.4833,-54.3333,74.23,clear sky,60,7,12.24,UY
205,Canto Do Buriti,-8.11,-42.9444,92.28,broken clouds,44,71,4.27,BR
206,Constitucion,-35.3333,-72.4167,62.17,scattered clouds,62,46,3.36,CL
207,Shawnee,39.05,-95.7669,52.0,overcast clouds,71,90,8.05,US
208,Provins,48.5833,3.1667,66.2,clear sky,30,0,14.97,FR
209,Tilichiki,60.4667,166.1,10.15,broken clouds,94,65,6.78,RU
210,Batsfjord,70.6345,29.7185,39.2,broken clouds,75,75,9.22,NO
211,Jiuquan,39.7432,98.5174,43.3,overcast clouds,70,100,13.87,CN
212,Weinan,34.5036,109.5089,57.0,light rain,94,90,15.66,CN
213,Chippewa Falls,44.9369,-91.3929,53.01,overcast clouds,43,90,9.22,US
214,Kingsport,36.5484,-82.5618,55.0,overcast clouds,35,90,4.29,US
215,Thanh Hoa,19.8,105.7667,77.4,scattered clouds,96,30,5.28,VN
216,Egvekinot,66.3167,-179.1667,17.47,overcast clouds,60,100,5.84,RU
217,Bengkulu,-3.8004,102.2655,75.43,broken clouds,90,79,3.89,ID
218,College,64.8569,-147.8028,37.4,few clouds,48,20,4.61,US
219,Mount Gambier,-37.8333,140.7667,51.8,light intensity drizzle,93,90,6.91,AU
220,Te Anau,-45.4167,167.7167,44.17,light rain,93,25,2.33,NZ
221,Talnakh,69.4865,88.3972,32.43,light snow,91,96,12.12,RU
222,Alihe,50.5667,123.7167,31.75,overcast clouds,42,89,2.93,CN
223,Victoria,22.2855,114.1577,78.01,clear sky,78,5,10.0,HK
224,Oranjemund,-28.55,16.4333,63.19,clear sky,82,1,13.33,NA
225,Ondangwa,-17.9167,15.95,86.0,clear sky,28,0,3.44,NA
226,Tuatapere,-46.1333,167.6833,45.0,broken clouds,96,53,4.0,NZ
227,Haren,52.7833,7.2333,55.4,scattered clouds,35,37,6.91,DE
228,Cabras,39.93,8.5314,57.0,scattered clouds,96,33,4.0,IT
229,El Real De Santa Maria,8.109,-77.7325,85.46,overcast clouds,74,96,2.33,PA
230,Urcos,-13.6861,-71.6228,66.2,few clouds,34,20,2.3,PE
231,Provideniya,64.3833,-173.3,32.23,overcast clouds,70,99,1.59,RU
232,Kruisfontein,-34.0033,24.7314,72.0,clear sky,67,1,5.99,ZA
233,Constantine,36.365,6.6147,60.8,scattered clouds,67,40,10.36,DZ
234,Saint Anthony,45.0205,-93.218,50.0,overcast clouds,61,90,12.66,US
235,Mecca,21.4267,39.8261,90.18,overcast clouds,26,88,6.98,SA
236,Jalu,29.0331,21.5482,91.87,overcast clouds,9,97,12.71,LY
237,Lagoa,39.05,-27.9833,57.78,clear sky,74,5,35.3,PT
238,Ilheus,-14.7889,-39.0494,84.2,few clouds,74,20,8.05,BR
239,Noumea,-22.2763,166.4572,78.01,overcast clouds,94,90,3.44,NC
240,Khromtau,50.2503,58.4347,49.06,overcast clouds,47,100,13.82,KZ
241,Makokou,0.5738,12.8642,79.65,light rain,80,100,2.42,GA
242,Ossora,59.2353,163.0719,28.74,overcast clouds,94,95,3.87,RU
243,Atyrau,47.1167,51.8833,50.0,mist,100,75,15.66,KZ
244,Severo-Kurilsk,50.6789,156.125,34.32,overcast clouds,93,100,6.62,RU
245,Mabaruma,8.2,-59.7833,82.51,broken clouds,72,66,6.85,GY
246,San Cristobal,7.7669,-72.225,87.8,few clouds,58,20,13.8,VE
247,Ca Mau,9.1769,105.15,79.2,overcast clouds,86,100,2.28,VN
248,Coquimbo,-29.9533,-71.3436,62.6,overcast clouds,67,90,5.75,CL
